time,subject,fuzzer,run,state_type,state
1773673884,proftpd,aflnet,1,nodes,13
1773673884,proftpd,aflnet,1,edges,23
1773673889,proftpd,aflnet,1,nodes,13
1773673889,proftpd,aflnet,1,edges,23
1773673894,proftpd,aflnet,1,nodes,13
1773673894,proftpd,aflnet,1,edges,23
1773673899,proftpd,aflnet,1,nodes,14
1773673899,proftpd,aflnet,1,edges,25
1773673905,proftpd,aflnet,1,nodes,14
1773673905,proftpd,aflnet,1,edges,27
1773673910,proftpd,aflnet,1,nodes,14
1773673910,proftpd,aflnet,1,edges,27
1773673915,proftpd,aflnet,1,nodes,14
1773673915,proftpd,aflnet,1,edges,27
1773673920,proftpd,aflnet,1,nodes,14
1773673920,proftpd,aflnet,1,edges,27
1773673925,proftpd,aflnet,1,nodes,14
1773673925,proftpd,aflnet,1,edges,29
1773673930,proftpd,aflnet,1,nodes,14
1773673930,proftpd,aflnet,1,edges,29
1773673935,proftpd,aflnet,1,nodes,14
1773673935,proftpd,aflnet,1,edges,29
1773673940,proftpd,aflnet,1,nodes,14
1773673940,proftpd,aflnet,1,edges,30
1773673945,proftpd,aflnet,1,nodes,14
1773673945,proftpd,aflnet,1,edges,30
1773673950,proftpd,aflnet,1,nodes,14
1773673950,proftpd,aflnet,1,edges,30
1773673956,proftpd,aflnet,1,nodes,14
1773673956,proftpd,aflnet,1,edges,30
1773673961,proftpd,aflnet,1,nodes,14
1773673961,proftpd,aflnet,1,edges,30
1773673966,proftpd,aflnet,1,nodes,14
1773673966,proftpd,aflnet,1,edges,30
1773673971,proftpd,aflnet,1,nodes,14
1773673971,proftpd,aflnet,1,edges,30
1773673976,proftpd,aflnet,1,nodes,14
1773673976,proftpd,aflnet,1,edges,30
1773673982,proftpd,aflnet,1,nodes,14
1773673982,proftpd,aflnet,1,edges,30
1773673987,proftpd,aflnet,1,nodes,14
1773673987,proftpd,aflnet,1,edges,30
1773673992,proftpd,aflnet,1,nodes,14
1773673992,proftpd,aflnet,1,edges,30
1773673997,proftpd,aflnet,1,nodes,14
1773673997,proftpd,aflnet,1,edges,30
1773674002,proftpd,aflnet,1,nodes,14
1773674002,proftpd,aflnet,1,edges,30
1773674007,proftpd,aflnet,1,nodes,14
1773674007,proftpd,aflnet,1,edges,30
1773674012,proftpd,aflnet,1,nodes,14
1773674012,proftpd,aflnet,1,edges,30
1773674023,proftpd,aflnet,1,nodes,14
1773674023,proftpd,aflnet,1,edges,30
1773674028,proftpd,aflnet,1,nodes,14
1773674028,proftpd,aflnet,1,edges,30
