time,subject,fuzzer,run,cov_type,cov
1773673860,bftpd,aflnet,1,l_per,29.4
1773673860,bftpd,aflnet,1,l_abs,743
1773673860,bftpd,aflnet,1,b_per,19.2
1773673860,bftpd,aflnet,1,b_abs,259
1773673866,bftpd,aflnet,1,l_per,31.2
1773673866,bftpd,aflnet,1,l_abs,790
1773673866,bftpd,aflnet,1,b_per,20.5
1773673866,bftpd,aflnet,1,b_abs,276
1773673867,bftpd,aflnet,1,l_per,35.1
1773673867,bftpd,aflnet,1,l_abs,889
1773673867,bftpd,aflnet,1,b_per,22.8
1773673867,bftpd,aflnet,1,b_abs,308
1773673868,bftpd,aflnet,1,l_per,35.1
1773673868,bftpd,aflnet,1,l_abs,889
1773673868,bftpd,aflnet,1,b_per,22.8
1773673868,bftpd,aflnet,1,b_abs,308
1773674209,bftpd,aflnet,1,l_per,35.7
1773674209,bftpd,aflnet,1,l_abs,905
1773674209,bftpd,aflnet,1,b_per,23.9
1773674209,bftpd,aflnet,1,b_abs,322
1773674623,bftpd,aflnet,1,l_per,36.9
1773674623,bftpd,aflnet,1,l_abs,936
1773674623,bftpd,aflnet,1,b_per,25.4
1773674623,bftpd,aflnet,1,b_abs,342
1773674883,bftpd,aflnet,1,l_per,40.5
1773674883,bftpd,aflnet,1,l_abs,1028
1773674883,bftpd,aflnet,1,b_per,28.2
1773674883,bftpd,aflnet,1,b_abs,380
1773675239,bftpd,aflnet,1,l_per,44.3
1773675239,bftpd,aflnet,1,l_abs,1124
1773675239,bftpd,aflnet,1,b_per,30.0
1773675239,bftpd,aflnet,1,b_abs,405
1773676096,bftpd,aflnet,1,l_per,46.0
1773676096,bftpd,aflnet,1,l_abs,1170
1773676096,bftpd,aflnet,1,b_per,31.4
1773676096,bftpd,aflnet,1,b_abs,423
1773676865,bftpd,aflnet,1,l_per,47.8
1773676865,bftpd,aflnet,1,l_abs,1215
1773676865,bftpd,aflnet,1,b_per,33.0
1773676865,bftpd,aflnet,1,b_abs,445
1773677595,bftpd,aflnet,1,l_per,47.8
1773677595,bftpd,aflnet,1,l_abs,1215
1773677595,bftpd,aflnet,1,b_per,33.0
1773677595,bftpd,aflnet,1,b_abs,445
1773678259,bftpd,aflnet,1,l_per,48.1
1773678259,bftpd,aflnet,1,l_abs,1221
1773678259,bftpd,aflnet,1,b_per,33.8
1773678259,bftpd,aflnet,1,b_abs,455
1773678880,bftpd,aflnet,1,l_per,48.3
1773678880,bftpd,aflnet,1,l_abs,1228
1773678880,bftpd,aflnet,1,b_per,34.0
1773678880,bftpd,aflnet,1,b_abs,458
1773680334,bftpd,aflnet,1,l_per,48.5
1773680334,bftpd,aflnet,1,l_abs,1232
1773680334,bftpd,aflnet,1,b_per,34.2
1773680334,bftpd,aflnet,1,b_abs,461
1773682534,bftpd,aflnet,1,l_per,48.5
1773682534,bftpd,aflnet,1,l_abs,1232
1773682534,bftpd,aflnet,1,b_per,34.2
1773682534,bftpd,aflnet,1,b_abs,461
1773684226,bftpd,aflnet,1,l_per,48.6
1773684226,bftpd,aflnet,1,l_abs,1235
1773684226,bftpd,aflnet,1,b_per,34.6
1773684226,bftpd,aflnet,1,b_abs,467
1773686302,bftpd,aflnet,1,l_per,48.6
1773686302,bftpd,aflnet,1,l_abs,1235
1773686302,bftpd,aflnet,1,b_per,34.6
1773686302,bftpd,aflnet,1,b_abs,467
1773688816,bftpd,aflnet,1,l_per,49.8
1773688816,bftpd,aflnet,1,l_abs,1265
1773688816,bftpd,aflnet,1,b_per,35.6
1773688816,bftpd,aflnet,1,b_abs,480
1773691993,bftpd,aflnet,1,l_per,50.0
1773691993,bftpd,aflnet,1,l_abs,1270
1773691993,bftpd,aflnet,1,b_per,35.9
1773691993,bftpd,aflnet,1,b_abs,484
1773695168,bftpd,aflnet,1,l_per,50.0
1773695168,bftpd,aflnet,1,l_abs,1270
1773695168,bftpd,aflnet,1,b_per,35.9
1773695168,bftpd,aflnet,1,b_abs,484
1773700287,bftpd,aflnet,1,l_per,50.0
1773700287,bftpd,aflnet,1,l_abs,1270
1773700287,bftpd,aflnet,1,b_per,35.9
1773700287,bftpd,aflnet,1,b_abs,484
1773708529,bftpd,aflnet,1,l_per,50.8
1773708529,bftpd,aflnet,1,l_abs,1291
1773708529,bftpd,aflnet,1,b_per,36.7
1773708529,bftpd,aflnet,1,b_abs,495
1773712640,bftpd,aflnet,1,l_per,51.5
1773712640,bftpd,aflnet,1,l_abs,1308
1773712640,bftpd,aflnet,1,b_per,37.5
1773712640,bftpd,aflnet,1,b_abs,506
1773718188,bftpd,aflnet,1,l_per,51.5
1773718188,bftpd,aflnet,1,l_abs,1308
1773718188,bftpd,aflnet,1,b_per,37.5
1773718188,bftpd,aflnet,1,b_abs,506
1773733031,bftpd,aflnet,1,l_per,51.9
1773733031,bftpd,aflnet,1,l_abs,1319
1773733031,bftpd,aflnet,1,b_per,38.2
1773733031,bftpd,aflnet,1,b_abs,515
1773752088,bftpd,aflnet,1,l_per,51.9
1773752088,bftpd,aflnet,1,l_abs,1319
1773752088,bftpd,aflnet,1,b_per,38.3
1773752088,bftpd,aflnet,1,b_abs,516
1773760654,bftpd,aflnet,1,l_per,51.9
1773760654,bftpd,aflnet,1,l_abs,1319
1773760654,bftpd,aflnet,1,b_per,38.3
1773760654,bftpd,aflnet,1,b_abs,516
1773673861,bftpd,aflnet,2,l_per,29.4
1773673861,bftpd,aflnet,2,l_abs,744
1773673861,bftpd,aflnet,2,b_per,19.3
1773673861,bftpd,aflnet,2,b_abs,260
1773673866,bftpd,aflnet,2,l_per,31.2
1773673866,bftpd,aflnet,2,l_abs,791
1773673866,bftpd,aflnet,2,b_per,20.5
1773673866,bftpd,aflnet,2,b_abs,277
1773673867,bftpd,aflnet,2,l_per,35.1
1773673867,bftpd,aflnet,2,l_abs,890
1773673867,bftpd,aflnet,2,b_per,22.9
1773673867,bftpd,aflnet,2,b_abs,309
1773673868,bftpd,aflnet,2,l_per,35.1
